zip_code,city,neighborhood,median_household_income,total_population,median_age,bachelors_degree_pct,foot_traffic_index
90001,Los Angeles,South Central Los Angeles,60751,33626,30.3,37.9,42.5
90002,Los Angeles,Watts,56158,52915,39.3,40.0,53.0
90003,Los Angeles,South Los Angeles,54781,52697,36.1,34.7,50.6
90004,Los Angeles,Koreatown,62655,54259,37.0,46.3,59.2
90005,Los Angeles,Koreatown,52755,61755,34.5,34.2,49.8
90006,Los Angeles,Koreatown,49847,60745,34.5,30.2,26.0
90007,Los Angeles,University Park,36032,57658,29.4,26.8,37.1
90008,Los Angeles,Baldwin Hills,61822,52067,32.9,36.8,56.5
90010,Los Angeles,Koreatown,100901,40687,39.3,57.3,53.7
90011,Los Angeles,South Los Angeles,53781,36207,32.5,32.5,37.7
90012,Los Angeles,Chinatown,67635,33149,30.2,42.4,46.5
90013,Los Angeles,Downtown Los Angeles,32848,27406,39.6,22.5,39.5
90014,Los Angeles,Downtown Los Angeles,33822,46253,32.6,26.4,27.2
90015,Los Angeles,South Park,63211,52611,36.7,39.1,50.4
90016,Los Angeles,West Adams,71067,40361,31.5,48.0,36.5
90017,Los Angeles,Downtown,51317,42451,41.7,38.8,53.5
90018,Los Angeles,Jefferson Park,63671,53535,41.3,37.0,31.5
90019,Los Angeles,Mid Wilshire,71395,38019,34.6,45.6,36.0
90020,Los Angeles,Koreatown,55832,29080,36.2,41.9,37.2
90021,Los Angeles,Central City,32250,37304,32.7,27.8,39.3
90022,Los Angeles,East Los Angeles,67829,29851,33.2,48.9,43.3
90023,Los Angeles,Boyle Heights,56623,57427,34.4,36.1,49.3
90024,Los Angeles,Westwood,79994,39585,41.9,48.0,42.9
90025,Los Angeles,West Los Angeles,104627,50785,39.0,65.3,55.9
90026,Los Angeles,Echo Park,85835,56081,38.1,54.7,60.5
90027,Los Angeles,Los Feliz,90532,59452,36.6,52.6,41.2
90028,Los Angeles,Hollywood,59393,54337,40.2,41.5,52.9
90029,Los Angeles,Hollywood,60793,50614,33.2,45.4,50.0
90031,Los Angeles,Lincoln Heights,62119,61803,34.7,41.0,40.3
90032,Los Angeles,El Sereno,81563,25862,39.4,48.4,42.5
90033,Los Angeles,Boyle Heights,56001,28237,30.1,41.6,43.5
90034,Los Angeles,Palms,103082,46851,33.8,61.5,49.6
90035,Los Angeles,Pico-Robertson,108224,25435,32.8,66.5,74.5
90036,Los Angeles,Mid-Wilshire,102877,25591,38.2,60.0,59.2
90037,Los Angeles,South Los Angeles,56417,46620,40.4,36.1,37.3
90038,Los Angeles,Hollywood,61566,34055,36.3,40.8,55.1
90039,Los Angeles,Atwater Village,105578,64092,40.7,61.1,70.1
90040,Los Angeles,Commerce,70909,47450,31.7,47.3,48.0
90041,Los Angeles,Eagle Rock,111834,60553,38.0,69.8,73.5
90042,Los Angeles,Highland Park,94401,64480,33.3,55.4,50.8
90043,Los Angeles,Hyde Park,65496,61659,36.3,38.9,31.7
90044,Los Angeles,Vermont Knolls,51433,63666,41.9,36.7,32.6
90045,Los Angeles,Westchester,132577,49349,32.3,80.4,77.7
90046,Los Angeles,Hollywood Hills,94259,53115,35.8,58.7,70.6
90047,Los Angeles,Los Angeles,70187,47880,30.2,49.6,46.2
90048,Los Angeles,Mid-Wilshire,104227,28422,38.7,60.1,63.1
90049,Los Angeles,Brentwood,169898,54292,31.1,95.0,95.1
90052,Los Angeles,Downtown,0,38426,38.9,10.0,18.0
90056,Los Angeles,Ladera Heights,127252,61417,29.8,75.6,60.5
90057,Los Angeles,Westlake,44876,33320,34.3,30.3,33.0
90058,Los Angeles,"Vernon, CA",36680,42007,32.3,24.2,34.9
90059,Los Angeles,Watts,53840,31773,37.0,39.5,46.5
90061,Los Angeles,Green Meadows,60114,49447,39.0,43.8,41.5
90062,Los Angeles,Exposition Park,63652,42881,29.8,39.1,44.5
90063,Los Angeles,Boyle Heights,71725,44629,30.8,46.5,61.9
90064,Los Angeles,Cheviot Hills,129703,30588,33.7,72.3,83.1
90065,Los Angeles,Glassell Park,92903,49970,39.1,59.0,71.2
90066,Los Angeles,Mar Vista,107786,50987,29.4,64.5,69.7
90067,Los Angeles,Century City,135328,64840,41.9,78.0,75.7
90068,Los Angeles,Hollywood Hills,101720,32323,38.7,65.2,67.2
90069,Los Angeles,West Hollywood,110705,27586,40.5,62.9,58.5
90071,Los Angeles,Downtown,0,36434,41.7,10.0,7.5
90073,Los Angeles,Bel Air,0,34143,41.6,11.2,12.5
90077,Los Angeles,Bel Air,220464,30278,41.4,95.0,100.0
90079,Los Angeles,Downtown,0,34070,37.7,10.5,21.7
90089,Los Angeles,University Park,0,54119,38.8,11.8,23.5
