week_start_date,store_location,product_type,quantity_sold,total_revenue
2023-11-27,Playa Vista,Sourdough Loaf,621,6986.25
2023-11-27,Playa Vista,Croissant,1241,5584.5
2023-11-27,Playa Vista,Baguette,413,2065.0
2023-11-27,Silver Lake,Sourdough Loaf,151,1698.75
2023-11-27,Silver Lake,Croissant,508,2286.0
2023-11-27,Silver Lake,Baguette,174,870.0
2023-11-27,Downtown LA,Sourdough Loaf,324,3645.0
2023-11-27,Downtown LA,Croissant,593,2668.5
2023-11-27,Downtown LA,Baguette,201,1005.0
2023-12-04,Playa Vista,Sourdough Loaf,565,6356.25
2023-12-04,Playa Vista,Croissant,1117,5026.5
2023-12-04,Playa Vista,Baguette,515,2575.0
2023-12-04,Silver Lake,Sourdough Loaf,241,2711.25
2023-12-04,Silver Lake,Croissant,457,2056.5
2023-12-04,Silver Lake,Baguette,147,735.0
2023-12-04,Downtown LA,Sourdough Loaf,308,3465.0
2023-12-04,Downtown LA,Croissant,613,2758.5
2023-12-04,Downtown LA,Baguette,168,840.0
2023-12-11,Playa Vista,Sourdough Loaf,559,6288.75
2023-12-11,Playa Vista,Croissant,1206,5427.0
2023-12-11,Playa Vista,Baguette,405,2025.0
2023-12-11,Silver Lake,Sourdough Loaf,214,2407.5
2023-12-11,Silver Lake,Croissant,464,2088.0
2023-12-11,Silver Lake,Baguette,175,875.0
2023-12-11,Downtown LA,Sourdough Loaf,260,2925.0
2023-12-11,Downtown LA,Croissant,607,2731.5
2023-12-11,Downtown LA,Baguette,221,1105.0
2023-12-18,Playa Vista,Sourdough Loaf,504,5670.0
2023-12-18,Playa Vista,Croissant,1112,5004.0
2023-12-18,Playa Vista,Baguette,446,2230.0
2023-12-18,Silver Lake,Sourdough Loaf,217,2441.25
2023-12-18,Silver Lake,Croissant,492,2214.0
2023-12-18,Silver Lake,Baguette,138,690.0
2023-12-18,Downtown LA,Sourdough Loaf,240,2700.0
2023-12-18,Downtown LA,Croissant,509,2290.5
2023-12-18,Downtown LA,Baguette,185,925.0
2023-12-25,Playa Vista,Sourdough Loaf,515,5793.75
2023-12-25,Playa Vista,Croissant,964,4338.0
2023-12-25,Playa Vista,Baguette,474,2370.0
2023-12-25,Silver Lake,Sourdough Loaf,280,3150.0
2023-12-25,Silver Lake,Croissant,389,1750.5
2023-12-25,Silver Lake,Baguette,180,900.0
2023-12-25,Downtown LA,Sourdough Loaf,252,2835.0
2023-12-25,Downtown LA,Croissant,512,2304.0
2023-12-25,Downtown LA,Baguette,199,995.0
2024-01-01,Playa Vista,Sourdough Loaf,399,4488.75
2024-01-01,Playa Vista,Croissant,899,4045.5
2024-01-01,Playa Vista,Baguette,358,1790.0
2024-01-01,Silver Lake,Sourdough Loaf,167,1878.75
2024-01-01,Silver Lake,Croissant,297,1336.5
2024-01-01,Silver Lake,Baguette,141,705.0
2024-01-01,Downtown LA,Sourdough Loaf,219,2463.75
2024-01-01,Downtown LA,Croissant,430,1935.0
2024-01-01,Downtown LA,Baguette,139,695.0
2024-01-08,Playa Vista,Sourdough Loaf,439,4938.75
2024-01-08,Playa Vista,Croissant,949,4270.5
2024-01-08,Playa Vista,Baguette,332,1660.0
2024-01-08,Silver Lake,Sourdough Loaf,194,2182.5
2024-01-08,Silver Lake,Croissant,341,1534.5
2024-01-08,Silver Lake,Baguette,152,760.0
2024-01-08,Downtown LA,Sourdough Loaf,194,2182.5
2024-01-08,Downtown LA,Croissant,366,1647.0
2024-01-08,Downtown LA,Baguette,174,870.0
2024-01-15,Playa Vista,Sourdough Loaf,396,4455.0
2024-01-15,Playa Vista,Croissant,852,3834.0
2024-01-15,Playa Vista,Baguette,348,1740.0
2024-01-15,Silver Lake,Sourdough Loaf,210,2362.5
2024-01-15,Silver Lake,Croissant,411,1849.5
2024-01-15,Silver Lake,Baguette,131,655.0
2024-01-15,Downtown LA,Sourdough Loaf,189,2126.25
2024-01-15,Downtown LA,Croissant,405,1822.5
2024-01-15,Downtown LA,Baguette,169,845.0
2024-01-22,Playa Vista,Sourdough Loaf,421,4736.25
2024-01-22,Playa Vista,Croissant,719,3235.5
2024-01-22,Playa Vista,Baguette,355,1775.0
2024-01-22,Silver Lake,Sourdough Loaf,182,2047.5
2024-01-22,Silver Lake,Croissant,437,1966.5
2024-01-22,Silver Lake,Baguette,155,775.0
2024-01-22,Downtown LA,Sourdough Loaf,222,2497.5
2024-01-22,Downtown LA,Croissant,360,1620.0
2024-01-22,Downtown LA,Baguette,163,815.0
2024-01-29,Playa Vista,Sourdough Loaf,397,4466.25
2024-01-29,Playa Vista,Croissant,880,3960.0
2024-01-29,Playa Vista,Baguette,275,1375.0
2024-01-29,Silver Lake,Sourdough Loaf,189,2126.25
2024-01-29,Silver Lake,Croissant,385,1732.5
2024-01-29,Silver Lake,Baguette,213,1065.0
2024-01-29,Downtown LA,Sourdough Loaf,213,2396.25
2024-01-29,Downtown LA,Croissant,355,1597.5
2024-01-29,Downtown LA,Baguette,171,855.0
2024-02-05,Playa Vista,Sourdough Loaf,418,4702.5
2024-02-05,Playa Vista,Croissant,738,3321.0
2024-02-05,Playa Vista,Baguette,337,1685.0
2024-02-05,Silver Lake,Sourdough Loaf,231,2598.75
2024-02-05,Silver Lake,Croissant,397,1786.5
2024-02-05,Silver Lake,Baguette,134,670.0
2024-02-05,Downtown LA,Sourdough Loaf,211,2373.75
2024-02-05,Downtown LA,Croissant,329,1480.5
2024-02-05,Downtown LA,Baguette,181,905.0
2024-02-12,Playa Vista,Sourdough Loaf,313,3521.25
2024-02-12,Playa Vista,Croissant,763,3433.5
2024-02-12,Playa Vista,Baguette,302,1510.0
2024-02-12,Silver Lake,Sourdough Loaf,242,2722.5
2024-02-12,Silver Lake,Croissant,335,1507.5
2024-02-12,Silver Lake,Baguette,164,820.0
2024-02-12,Downtown LA,Sourdough Loaf,157,1766.25
2024-02-12,Downtown LA,Croissant,331,1489.5
2024-02-12,Downtown LA,Baguette,132,660.0
2024-02-19,Playa Vista,Sourdough Loaf,375,4218.75
2024-02-19,Playa Vista,Croissant,859,3865.5
2024-02-19,Playa Vista,Baguette,323,1615.0
2024-02-19,Silver Lake,Sourdough Loaf,217,2441.25
2024-02-19,Silver Lake,Croissant,364,1638.0
2024-02-19,Silver Lake,Baguette,172,860.0
2024-02-19,Downtown LA,Sourdough Loaf,210,2362.5
2024-02-19,Downtown LA,Croissant,374,1683.0
2024-02-19,Downtown LA,Baguette,148,740.0
2024-02-26,Playa Vista,Sourdough Loaf,481,5411.25
2024-02-26,Playa Vista,Croissant,788,3546.0
2024-02-26,Playa Vista,Baguette,333,1665.0
2024-02-26,Silver Lake,Sourdough Loaf,206,2317.5
2024-02-26,Silver Lake,Croissant,359,1615.5
2024-02-26,Silver Lake,Baguette,124,620.0
2024-02-26,Downtown LA,Sourdough Loaf,194,2182.5
2024-02-26,Downtown LA,Croissant,421,1894.5
2024-02-26,Downtown LA,Baguette,177,885.0
2024-03-04,Playa Vista,Sourdough Loaf,511,5748.75
2024-03-04,Playa Vista,Croissant,773,3478.5
2024-03-04,Playa Vista,Baguette,323,1615.0
2024-03-04,Silver Lake,Sourdough Loaf,233,2621.25
2024-03-04,Silver Lake,Croissant,398,1791.0
2024-03-04,Silver Lake,Baguette,196,980.0
2024-03-04,Downtown LA,Sourdough Loaf,240,2700.0
2024-03-04,Downtown LA,Croissant,480,2160.0
2024-03-04,Downtown LA,Baguette,157,785.0
2024-03-11,Playa Vista,Sourdough Loaf,345,3881.25
2024-03-11,Playa Vista,Croissant,744,3348.0
2024-03-11,Playa Vista,Baguette,314,1570.0
2024-03-11,Silver Lake,Sourdough Loaf,203,2283.75
2024-03-11,Silver Lake,Croissant,375,1687.5
2024-03-11,Silver Lake,Baguette,177,885.0
2024-03-11,Downtown LA,Sourdough Loaf,174,1957.5
2024-03-11,Downtown LA,Croissant,444,1998.0
2024-03-11,Downtown LA,Baguette,145,725.0
2024-03-18,Playa Vista,Sourdough Loaf,334,3757.5
2024-03-18,Playa Vista,Croissant,776,3492.0
2024-03-18,Playa Vista,Baguette,325,1625.0
2024-03-18,Silver Lake,Sourdough Loaf,192,2160.0
2024-03-18,Silver Lake,Croissant,426,1917.0
2024-03-18,Silver Lake,Baguette,174,870.0
2024-03-18,Downtown LA,Sourdough Loaf,194,2182.5
2024-03-18,Downtown LA,Croissant,395,1777.5
2024-03-18,Downtown LA,Baguette,167,835.0
2024-03-25,Playa Vista,Sourdough Loaf,461,5186.25
2024-03-25,Playa Vista,Croissant,873,3928.5
2024-03-25,Playa Vista,Baguette,348,1740.0
2024-03-25,Silver Lake,Sourdough Loaf,258,2902.5
2024-03-25,Silver Lake,Croissant,502,2259.0
2024-03-25,Silver Lake,Baguette,156,780.0
2024-03-25,Downtown LA,Sourdough Loaf,162,1822.5
2024-03-25,Downtown LA,Croissant,440,1980.0
2024-03-25,Downtown LA,Baguette,179,895.0
2024-04-01,Playa Vista,Sourdough Loaf,440,4950.0
2024-04-01,Playa Vista,Croissant,816,3672.0
2024-04-01,Playa Vista,Baguette,376,1880.0
2024-04-01,Silver Lake,Sourdough Loaf,202,2272.5
2024-04-01,Silver Lake,Croissant,468,2106.0
2024-04-01,Silver Lake,Baguette,109,545.0
2024-04-01,Downtown LA,Sourdough Loaf,216,2430.0
2024-04-01,Downtown LA,Croissant,396,1782.0
2024-04-01,Downtown LA,Baguette,158,790.0
2024-04-08,Playa Vista,Sourdough Loaf,412,4635.0
2024-04-08,Playa Vista,Croissant,864,3888.0
2024-04-08,Playa Vista,Baguette,302,1510.0
2024-04-08,Silver Lake,Sourdough Loaf,269,3026.25
2024-04-08,Silver Lake,Croissant,484,2178.0
2024-04-08,Silver Lake,Baguette,138,690.0
2024-04-08,Downtown LA,Sourdough Loaf,219,2463.75
2024-04-08,Downtown LA,Croissant,390,1755.0
2024-04-08,Downtown LA,Baguette,151,755.0
2024-04-15,Playa Vista,Sourdough Loaf,402,4522.5
2024-04-15,Playa Vista,Croissant,786,3537.0
2024-04-15,Playa Vista,Baguette,320,1600.0
2024-04-15,Silver Lake,Sourdough Loaf,253,2846.25
2024-04-15,Silver Lake,Croissant,494,2223.0
2024-04-15,Silver Lake,Baguette,170,850.0
2024-04-15,Downtown LA,Sourdough Loaf,222,2497.5
2024-04-15,Downtown LA,Croissant,409,1840.5
2024-04-15,Downtown LA,Baguette,140,700.0
2024-04-22,Playa Vista,Sourdough Loaf,305,3431.25
2024-04-22,Playa Vista,Croissant,851,3829.5
2024-04-22,Playa Vista,Baguette,349,1745.0
2024-04-22,Silver Lake,Sourdough Loaf,193,2171.25
2024-04-22,Silver Lake,Croissant,524,2358.0
2024-04-22,Silver Lake,Baguette,187,935.0
2024-04-22,Downtown LA,Sourdough Loaf,212,2385.0
2024-04-22,Downtown LA,Croissant,401,1804.5
2024-04-22,Downtown LA,Baguette,150,750.0
2024-04-29,Playa Vista,Sourdough Loaf,408,4590.0
2024-04-29,Playa Vista,Croissant,849,3820.5
2024-04-29,Playa Vista,Baguette,301,1505.0
2024-04-29,Silver Lake,Sourdough Loaf,235,2643.75
2024-04-29,Silver Lake,Croissant,432,1944.0
2024-04-29,Silver Lake,Baguette,178,890.0
2024-04-29,Downtown LA,Sourdough Loaf,213,2396.25
2024-04-29,Downtown LA,Croissant,359,1615.5
2024-04-29,Downtown LA,Baguette,138,690.0
2024-05-06,Playa Vista,Sourdough Loaf,472,5310.0
2024-05-06,Playa Vista,Croissant,848,3816.0
2024-05-06,Playa Vista,Baguette,314,1570.0
2024-05-06,Silver Lake,Sourdough Loaf,267,3003.75
2024-05-06,Silver Lake,Croissant,551,2479.5
2024-05-06,Silver Lake,Baguette,226,1130.0
2024-05-06,Downtown LA,Sourdough Loaf,217,2441.25
2024-05-06,Downtown LA,Croissant,409,1840.5
2024-05-06,Downtown LA,Baguette,133,665.0
2024-05-13,Playa Vista,Sourdough Loaf,337,3791.25
2024-05-13,Playa Vista,Croissant,931,4189.5
2024-05-13,Playa Vista,Baguette,348,1740.0
2024-05-13,Silver Lake,Sourdough Loaf,227,2553.75
2024-05-13,Silver Lake,Croissant,617,2776.5
2024-05-13,Silver Lake,Baguette,215,1075.0
2024-05-13,Downtown LA,Sourdough Loaf,173,1946.25
2024-05-13,Downtown LA,Croissant,408,1836.0
2024-05-13,Downtown LA,Baguette,143,715.0
2024-05-20,Playa Vista,Sourdough Loaf,397,4466.25
2024-05-20,Playa Vista,Croissant,854,3843.0
2024-05-20,Playa Vista,Baguette,334,1670.0
2024-05-20,Silver Lake,Sourdough Loaf,226,2542.5
2024-05-20,Silver Lake,Croissant,443,1993.5
2024-05-20,Silver Lake,Baguette,208,1040.0
2024-05-20,Downtown LA,Sourdough Loaf,198,2227.5
2024-05-20,Downtown LA,Croissant,352,1584.0
2024-05-20,Downtown LA,Baguette,172,860.0
2024-05-27,Playa Vista,Sourdough Loaf,452,5085.0
2024-05-27,Playa Vista,Croissant,872,3924.0
2024-05-27,Playa Vista,Baguette,309,1545.0
2024-05-27,Silver Lake,Sourdough Loaf,191,2148.75
2024-05-27,Silver Lake,Croissant,492,2214.0
2024-05-27,Silver Lake,Baguette,157,785.0
2024-05-27,Downtown LA,Sourdough Loaf,192,2160.0
2024-05-27,Downtown LA,Croissant,416,1872.0
2024-05-27,Downtown LA,Baguette,160,800.0
2024-06-03,Playa Vista,Sourdough Loaf,436,4905.0
2024-06-03,Playa Vista,Croissant,909,4090.5
2024-06-03,Playa Vista,Baguette,346,1730.0
